key,metric,independent,primary,abs_diff,rel_diff,tolerance,status
P2_F3_Longitudinal,kendall_tau_ci95_high,0.3030252430973294,0.3030252430973294,0.0,0.0,0.001,pass
P2_F3_Longitudinal,spearman_rho,0.3138496663955456,0.3138496663955456,0.0,0.0,0.001,pass
P2_F3_Longitudinal,permutation_tau_pvalue,0.0002,0.0002,0.0,0.0,0.001,pass
P2_F3_Longitudinal,top_10pct_observed_jaccard,0.02564102564102564,0.0256410256410256,4.163336342344337e-17,1.6237011735142942e-15,0.001,pass
P2_F3_Longitudinal,top_10pct_expected_jaccard,0.051934439199011924,0.0519344391990119,2.0816681711721685e-17,4.008261576090676e-16,0.001,pass
P2_F3_Longitudinal,top_10pct_chance_adjusted_jaccard,-0.027733750328164945,-0.0277337503281649,4.5102810375396984e-17,1.6262788062093789e-15,0.001,pass
P2_F3_Longitudinal,top_10pct_hypergeometric_pvalue,0.8820379332865877,0.8820379332865877,0.0,0.0,0.001,pass
P2_F3_Longitudinal,median_normalized_rank_displacement,0.23786407766990292,0.2378640776699029,2.7755575615628914e-17,1.1668670564937872e-16,0.001,pass
P2_F4_KelvinOp,kendall_tau,0.2051690979877105,0.2051690979877105,0.0,0.0,0.001,pass
P2_F4_KelvinOp,kendall_tau_ci95_low,0.10794832975262614,0.1079483297526261,4.163336342344337e-17,3.8567862530944384e-16,0.001,pass
P2_F4_KelvinOp,kendall_tau_ci95_high,0.2971096702013457,0.2971096702013457,0.0,0.0,0.001,pass
P2_F4_KelvinOp,spearman_rho,0.28950708065055125,0.2895070806505512,5.551115123125783e-17,1.9174367378690273e-16,0.001,pass
P2_F4_KelvinOp,permutation_tau_pvalue,0.0004,0.0004,0.0,0.0,0.001,pass
P2_F4_KelvinOp,top_10pct_observed_jaccard,0.02564102564102564,0.0256410256410256,4.163336342344337e-17,1.6237011735142942e-15,0.001,pass
P2_F4_KelvinOp,top_10pct_expected_jaccard,0.051934439199011924,0.0519344391990119,2.0816681711721685e-17,4.008261576090676e-16,0.001,pass
P2_F4_KelvinOp,top_10pct_chance_adjusted_jaccard,-0.027733750328164945,-0.0277337503281649,4.5102810375396984e-17,1.6262788062093789e-15,0.001,pass
P2_F4_KelvinOp,top_10pct_hypergeometric_pvalue,0.8820379332865877,0.8820379332865877,0.0,0.0,0.001,pass
P2_F4_KelvinOp,median_normalized_rank_displacement,0.22815533980582525,0.2281553398058252,5.551115123125783e-17,2.4330419475827903e-16,0.001,pass
