panel,functional,n_pairs,kendall_tau,kendall_tau_pvalue,kendall_tau_ci95_low,kendall_tau_ci95_high,spearman_rho,spearman_rho_pvalue,permutation_tau_pvalue,mean_abs_rank_shift,median_abs_rank_shift,mean_normalized_rank_displacement,median_normalized_rank_displacement,top_5pct_k,top_5pct_observed_overlap,top_5pct_observed_jaccard,top_5pct_expected_jaccard,top_5pct_chance_adjusted_jaccard,top_5pct_hypergeometric_pvalue,top_10pct_k,top_10pct_observed_overlap,top_10pct_observed_jaccard,top_10pct_expected_jaccard,top_10pct_chance_adjusted_jaccard,top_10pct_hypergeometric_pvalue,top_20pct_k,top_20pct_observed_overlap,top_20pct_observed_jaccard,top_20pct_expected_jaccard,top_20pct_chance_adjusted_jaccard,top_20pct_hypergeometric_pvalue
P0,F1_Frobenius,573,0.2453490536947952,1.606069040967802e-18,0.1865572446397607,0.3053057382468965,0.3503386827745531,5.460337979077794e-18,0.0002,144.16579406631763,108.0,0.2520381015145413,0.1888111888111888,28,1,0.01818181818181818,0.025477572909264095,-0.007486492382967622,0.7625610938212595,57,8,0.07547169811320754,0.05275760760908707,0.023979174376674968,0.19253854262356407,114,38,0.2,0.11085023542627534,0.10026405913346305,9.903853386067267e-05
P0,F3_Longitudinal,573,0.26857345047318515,7.779916845821625e-22,0.21403764401199835,0.3243666961873743,0.38825674355866324,4.685674356093031e-22,0.0002,139.81151832460733,106.0,0.2444257313367261,0.1853146853146853,28,1,0.01818181818181818,0.025477572909264095,-0.007486492382967622,0.7625610938212595,57,7,0.06542056074766354,0.05275760760908707,0.013368228914052508,0.3339236538419765,114,42,0.22580645161290322,0.11085023542627534,0.12928779916141583,1.4228223889112773e-06
P0,F4_KelvinOp,573,0.255259681075164,6.436925270001222e-20,0.19704022954450628,0.3153708205860884,0.3655405146817599,1.4841767632882577e-19,0.0002,142.57068062827224,105.0,0.24924944165781865,0.18356643356643357,28,0,0.0,0.025477572909264095,-0.026143649649318874,1.0,57,9,0.08571428571428572,0.05275760760908707,0.03479223308620452,0.09792859132644674,114,35,0.18134715025906736,0.11085023542627534,0.07928575999408782,0.0013811352523759206
P2,F1_Frobenius,207,0.191753834607627,4.074824676266572e-05,0.09450899897711948,0.2835532085884057,0.2669622405892357,0.00010087925319745792,0.0004,57.38164251207729,48.0,0.2785516626799869,0.23300970873786409,10,0,0.0,0.025991658248233813,-0.026685252203782456,1.0,20,2,0.05263157894736842,0.051934439199011924,0.0007353286282939176,0.6011758696832252,41,8,0.10810810810810811,0.11099514776220629,-0.0032474959465417386,0.5970211502688674
P2,F3_Longitudinal,207,0.21515646248778617,4.257268581595975e-06,0.1202284083491248,0.3030252430973294,0.3138496663955456,4.123522221690258e-06,0.0002,55.81642512077295,49.0,0.27095352000375217,0.23786407766990292,10,0,0.0,0.025991658248233813,-0.026685252203782456,1.0,20,1,0.02564102564102564,0.051934439199011924,-0.027733750328164945,0.8820379332865877,41,8,0.10810810810810811,0.11099514776220629,-0.0032474959465417386,0.5970211502688674
P2,F4_KelvinOp,207,0.2051690979877105,1.1321588839738212e-05,0.10794832975262614,0.2971096702013457,0.28950708065055125,2.3263304798320752e-05,0.0004,56.792270531400966,47.0,0.2756906336475775,0.22815533980582525,10,0,0.0,0.025991658248233813,-0.026685252203782456,1.0,20,1,0.02564102564102564,0.051934439199011924,-0.027733750328164945,0.8820379332865877,41,9,0.1232876712328767,0.11099514776220629,0.013827285013943183,0.42393454460704616
