q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,hypergeometric_pvalue,overlap_enrichment,mean_rank_displacement_in_union,median_rank_displacement_in_union,adj_jaccard_ci95_low,adj_jaccard_ci95_high,panel,attribute
1.0,5,573,3,0.42857142857142855,0.0048647682070274215,0.4257779715034236,3.189145325421958e-06,88.09698845514035,3.0,2.0,,,P0,volume
2.0,11,573,10,0.8333333333333334,0.010144239897062002,0.8316252999837729,1.2433612007118105e-19,82.14842529253328,2.9166666666666665,2.0,,,P0,volume
3.0,17,573,15,0.7894736842105263,0.015500234329753358,0.7861591001536221,1.2262944084373778e-25,50.93301607028599,2.473684210526316,2.0,,,P0,volume
4.0,22,573,21,0.9130434782608695,0.02001050598232266,0.9112679041255498,4.2883368283568545e-36,45.62820545704616,2.3043478260869565,2.0,,,P0,volume
5.0,28,573,27,0.9310344827586207,0.025477572909264095,0.929231472437978,5.377604351142111e-44,36.5432957870206,2.413793103448276,2.0,,,P0,volume
6.0,34,573,32,0.8888888888888888,0.031004428935034415,0.8853337265628619,1.0890450383336846e-47,28.669739112158304,2.5555555555555554,2.0,,,P0,volume
7.0,40,573,38,0.9047619047619048,0.03659167305736104,0.9011446210556101,1.7159576822874823e-54,24.725896062298155,2.6904761904761907,2.0,,,P0,volume
8.0,45,573,44,0.9565217391304348,0.041294420937402626,0.9546489956675986,1.2802241190705134e-63,23.16346173204382,3.0652173913043477,2.0,,,P0,volume
9.0,51,573,49,0.9245283018867925,0.046994555952628414,0.9208066453506472,5.752902530709908e-66,19.673093683845806,2.981132075471698,2.0,,,P0,volume
10.0,57,573,52,0.8387096774193549,0.05275760760908707,0.8297264524093607,5.525498593360112e-62,15.897416797855215,3.774193548387097,2.0,,,P0,volume
11.0,63,573,59,0.8805970149253731,0.05858458404020633,0.8731665287710497,1.9537778792124416e-70,15.031207088899418,4.029850746268656,2.0,,,P0,volume
12.0,68,573,65,0.9154929577464789,0.06348998130614933,0.9097638673728413,4.654144952471229e-78,14.419486963336194,4.084507042253521,3.0,,,P0,volume
13.0,74,573,70,0.8974358974358975,0.06943688706444504,0.8897827550454329,1.0592209099415699e-79,12.924483446427814,4.32051282051282,3.0,,,P0,volume
14.0,80,573,77,0.927710843373494,0.07545075520425892,0.9218114588991128,8.493373851052626e-88,12.295580618934984,4.469879518072289,3.0,,,P0,volume
15.0,85,573,82,0.9318181818181818,0.08051427689820931,0.9258478772766434,1.3658655869857103e-91,11.573328578684732,4.943181818181818,3.0,,,P0,volume
16.0,91,573,89,0.956989247311828,0.08665385984471832,0.9529085953318207,1.2495779843540203e-99,11.043815578748946,5.10752688172043,3.0,,,P0,volume
17.0,97,573,93,0.9207920792079208,0.09286367473140028,0.9126835530826901,1.1280427223906707e-96,9.915524901111528,5.0,3.0,,,P0,volume
18.0,103,573,98,0.9074074074074074,0.09914492971776269,0.8972169934464782,2.3065376482593364e-97,9.152332953289061,5.0092592592592595,3.0,,,P0,volume
19.0,108,573,106,0.9636363636363636,0.10443477276239174,0.9593958817764722,5.228107553618259e-111,9.22716005548088,5.0181818181818185,3.0,,,P0,volume
20.0,114,573,112,0.9655172413793104,0.11085023542627534,0.9612182784109252,1.1140813488616796e-114,8.71010546496728,4.974137931034483,3.0,,,P0,volume
21.0,120,573,117,0.9512195121951219,0.11734072027853504,0.9447346343877204,2.0672912166802587e-114,8.106474120298433,5.0,3.0,,,P0,volume
22.0,126,573,123,0.9534883720930233,0.12390754979930439,0.9469101372848016,9.765237246339316e-118,7.69515960599179,5.333333333333333,3.0,,,P0,volume
23.0,131,573,128,0.9552238805970149,0.12943920253995603,0.9485663499509462,2.173316835910729e-120,7.379710797446786,5.313432835820896,3.0,,,P0,volume
24.0,137,573,132,0.9295774647887324,0.13614953768030674,0.918478326651395,1.6347151608508495e-116,6.827621162926581,5.802816901408451,3.0,,,P0,volume
25.0,143,573,137,0.9194630872483222,0.1429401392933665,0.90603116953199,3.578020125375647e-116,6.432504486099884,6.067114093959732,3.0,,,P0,volume
26.0,148,573,142,0.922077922077922,0.14866133274015444,0.9084711162328839,1.8991882726155802e-118,6.202540398918827,6.2727272727272725,3.5,,,P0,volume
27.0,154,573,146,0.9012345679012346,0.15560287751019589,0.883034381017851,5.574797975155856e-115,5.791888828290988,6.308641975308642,4.0,,,P0,volume
28.0,160,573,155,0.9393939393939394,0.16262888566726297,0.9276234162264425,9.088053169491914e-127,5.776304348022957,6.278787878787878,4.0,,,P0,volume
29.0,166,573,163,0.9644970414201184,0.16974090852766702,0.9572386994077683,3.7769751407610395e-136,5.682172021972591,6.2485207100591715,4.0,,,P0,volume
30.0,171,573,168,0.9655172413793104,0.17573444559908336,0.9581654741768847,5.034884569303882e-138,5.494183215406841,6.235632183908046,4.0,,,P0,volume
31.0,177,573,173,0.9558011049723757,0.1830083192418814,0.9459004344002494,1.5848069036774951e-136,5.222719431181142,6.475138121546961,4.0,,,P0,volume
32.0,183,573,177,0.9365079365079365,0.1903728151227539,0.9215786417773385,8.357191321014757e-132,4.919336491946441,6.984126984126984,5.0,,,P0,volume
33.0,189,573,182,0.9285714285714286,0.19782963807008228,0.910955858233501,1.6247961173475652e-130,4.69379329422054,7.219387755102041,5.0,,,P0,volume
34.0,194,573,186,0.9207920792079208,0.20411544453627195,0.9004781280798594,6.219159882515144e-129,4.511133791467177,7.415841584158416,5.0,,,P0,volume
35.0,200,573,193,0.9323671497584541,0.2117461055962624,0.9141991549655385,1.322221729154551e-133,4.403231630319588,7.541062801932367,5.0,,,P0,volume
36.0,206,573,200,0.9433962264150944,0.21947416273996465,0.9274799489231413,2.710105516019706e-138,4.29843866192505,7.556603773584905,5.0,,,P0,volume
37.0,212,573,205,0.9360730593607306,0.22730149363603225,0.917267938124941,1.571427996148361e-136,4.118200212355941,7.525114155251141,5.0,,,P0,volume
38.0,217,573,213,0.9638009049773756,0.23390149173608848,0.952748772341749,1.3849287910076913e-147,4.120541933374389,7.67420814479638,5.0,,,P0,volume
39.0,223,573,218,0.956140350877193,0.24191586374086366,0.9421440879382621,2.5773844430934402e-145,3.952367306930293,7.644736842105263,5.0,,,P0,volume
40.0,229,573,227,0.9826839826839827,0.25003509898592313,0.9769108963731461,1.6286437563507835e-157,3.9301841488234714,7.571428571428571,5.0,,,P0,volume
41.0,234,573,231,0.9746835443037974,0.256882726086866,0.9659320855739361,2.06101975249364e-154,3.7942743724005945,7.734177215189874,5.0,,,P0,volume
42.0,240,573,236,0.9672131147540983,0.26519963409964514,0.955379873544663,1.273770307402587e-151,3.6471133078210856,7.799180327868853,5.0,,,P0,volume
43.0,246,573,239,0.9446640316205533,0.2736274229346693,0.9238187534515505,2.217251985253062e-142,3.4523733823495437,7.826086956521739,5.0,,,P0,volume
44.0,252,573,246,0.9534883720930233,0.28216832632827377,0.9352053836394977,3.013898670205078e-146,3.3791474206206185,8.062015503875969,5.0,,,P0,volume
45.0,257,573,252,0.9618320610687023,0.28937380606327734,0.946289710037488,4.628242600393991e-150,3.323839410877357,8.022900763358779,5.0,,,P0,volume
46.0,263,573,256,0.9481481481481482,0.2981280897313316,0.926123483368919,5.417389241626007e-144,3.180338186189046,8.037037037037036,5.0,,,P0,volume
