panel,metric,strategy,budget_factor,target_k,budget,holdout_n,disagreement_lambda,worst_source_recall,worst_source_ndcg,worst_source_normalized_utility,minimax_recall_regret,minimax_ndcg_regret,portfolio_size,portfolio_coverage,worst_source_recall_ci95_low,worst_source_recall_ci95_high,worst_source_ndcg_ci95_low,worst_source_ndcg_ci95_high,worst_source_normalized_utility_ci95_low,worst_source_normalized_utility_ci95_high,minimax_recall_regret_ci95_low,minimax_recall_regret_ci95_high,minimax_ndcg_regret_ci95_low,minimax_ndcg_regret_ci95_high,portfolio_coverage_ci95_low,portfolio_coverage_ci95_high,pareto_efficient
P0,F1_Frobenius,jarvis_only,1.0,11,11,113,,0.09090909090909091,0.5694387565375718,0.09090909090909091,0.9090909090909091,0.4305612434624282,11,0.09734513274336283,0.0,0.36363636363636365,0.38288097250418246,0.8171496109890719,0.0,0.36363636363636365,0.6363636363636364,1.0,0.18285038901092807,0.6171190274958175,0.09482758620689655,0.0990990990990991,False
P0,F1_Frobenius,mp_only,1.0,11,11,113,,0.09090909090909091,0.6702016481679445,0.09090909090909091,0.9090909090909091,0.3297983518320555,11,0.09734513274336283,0.0,0.36363636363636365,0.545461700953535,0.8311175180984287,0.0,0.36363636363636365,0.6363636363636364,1.0,0.16888248190157126,0.45453829904646503,0.09482758620689655,0.0990990990990991,False
P0,F1_Frobenius,average_percentile,1.0,11,11,113,,0.2727272727272727,0.8975437925220405,0.2727272727272727,0.7272727272727273,0.10245620747795947,11,0.09734513274336283,0.09090909090909091,0.5454545454545454,0.8331285304187749,0.9377749197207533,0.09090909090909091,0.5454545454545454,0.4545454545454546,0.9090909090909091,0.06222508027924668,0.16687146958122506,0.09482758620689655,0.0990990990990991,False
P0,F1_Frobenius,borda_count,1.0,11,11,113,,0.2727272727272727,0.8975437925220405,0.2727272727272727,0.7272727272727273,0.10245620747795947,11,0.09734513274336283,0.09090909090909091,0.5454545454545454,0.8331961477362767,0.9377749197207533,0.09090909090909091,0.5454545454545454,0.4545454545454546,0.9090909090909091,0.06222508027924668,0.16680385226372324,0.09482758620689655,0.0990990990990991,False
P0,F1_Frobenius,maximin_percentile,1.0,11,11,113,,0.2727272727272727,0.8922648500819483,0.2727272727272727,0.7272727272727273,0.10773514991805166,11,0.09734513274336283,0.0,0.5454545454545454,0.8282129654703236,0.9350658476314344,0.0,0.5454545454545454,0.4545454545454546,1.0,0.06493415236856562,0.17178703452967628,0.09482758620689655,0.0990990990990991,False
P0,F1_Frobenius,intersection_first,1.0,11,11,113,,0.2727272727272727,0.8975437925220405,0.2727272727272727,0.7272727272727273,0.10245620747795947,11,0.09734513274336283,0.09090909090909091,0.5454545454545454,0.8331285304187749,0.9377749197207533,0.09090909090909091,0.5454545454545454,0.4545454545454546,0.9090909090909091,0.06222508027924668,0.16687146958122506,0.09482758620689655,0.0990990990990991,False
P0,F1_Frobenius,balanced_union,1.0,11,11,113,,0.45454545454545453,0.8936588660907371,0.45454545454545453,0.5454545454545454,0.10634113390926292,11,0.09734513274336283,0.2727272727272727,0.6363636363636364,0.8069184585888064,0.9362093060898448,0.2727272727272727,0.6363636363636364,0.36363636363636365,0.7272727272727273,0.0637906939101552,0.19308154141119363,0.09482758620689655,0.0990990990990991,True
P0,F1_Frobenius,disagreement_abstention,1.0,11,11,113,0.0,0.2727272727272727,0.8975437925220405,0.2727272727272727,0.7272727272727273,0.10245620747795947,11,0.09734513274336283,0.09090909090909091,0.5454545454545454,0.8331285304187749,0.9377749197207533,0.09090909090909091,0.5454545454545454,0.4545454545454546,0.9090909090909091,0.06222508027924668,0.16687146958122506,0.09482758620689655,0.0990990990990991,False
P0,F1_Frobenius,minimax_oracle,1.0,11,11,113,,0.45454545454545453,0.8962806401805531,0.45454545454545453,0.5454545454545454,0.10371935981944691,11,0.09734513274336283,0.2727272727272727,0.6363636363636364,0.8287232965361769,0.9353939033103467,0.2727272727272727,0.6363636363636364,0.36363636363636365,0.7272727272727273,0.06460609668965335,0.17127670346382304,0.09482758620689655,0.0990990990990991,True
P0,F1_Frobenius,jarvis_only,1.5,11,16,113,,0.18181818181818182,0.700258588265844,0.18181818181818182,0.8181818181818181,0.299741411734156,16,0.1415929203539823,0.0,0.45454545454545453,0.4809442621239164,0.8336502119381413,0.0,0.45454545454545453,0.5454545454545454,1.0,0.16634978806185874,0.5190557378760835,0.13793103448275862,0.14414414414414414,False
