panel,attribute,mean_diff_F1_minus_control,median_diff
P0,volume,-0.8089784252276321,-0.8110822293207481
P0,band_gap,-0.7900432028990072,-0.7805636537760432
P0,energy_above_hull,-0.4264893009503238,-0.41595761221515476
P0,dielectric_total_trace,-0.179194468883062,-0.17702154633842837
P2,volume,-0.9045164189245383,-0.8872170645206363
P2,band_gap,-0.8429663044711218,-0.8381447395049896
P2,energy_above_hull,-0.4570245852007674,-0.39939124528355474
P2,dielectric_total_trace,-0.23252387072359965,-0.22304114148884427
