panel,metric,covariate,group,n,kendall_tau,delta_tau_vs_full
P2,F1_Frobenius,crystal_system,orthorhombic,27,0.08831908831908834,-0.10343474628853865
P2,F1_Frobenius,crystal_system,hexagonal,91,0.07988274152664386,-0.11187109308098313
P2,F1_Frobenius,crystal_system,trigonal,26,-0.1076923076923077,-0.2994461422999347
P2,F1_Frobenius,crystal_system,tetragonal,29,0.4808881584200148,0.2891343238123878
P2,F1_Frobenius,anion_group,oxide,85,0.38296680583025083,0.19121297122262385
P2,F1_Frobenius,anion_group,nitride,23,0.3438735177865613,0.1521196831789343
P2,F1_Frobenius,anion_group,sulfide,71,-0.06080128973636491,-0.2525551243439919
P2,F1_Frobenius,anion_group,halide,15,0.12380952380952381,-0.06794431079810317
P2,F1_Frobenius,response_magnitude_quartile,Q1_low,59,0.29072829555910196,0.09897446095147497
P2,F1_Frobenius,response_magnitude_quartile,Q2,50,-0.05795918367346938,-0.24971301828109638
P2,F1_Frobenius,response_magnitude_quartile,Q3,55,0.1549343301084562,-0.03681950449917079
P2,F1_Frobenius,response_magnitude_quartile,Q4_high,43,0.25138427464008856,0.05963044003246157
P2,F1_Frobenius,rms_match_quality,best_match,69,0.20375106564364873,0.011997231036021738
P2,F1_Frobenius,rms_match_quality,mid_match,69,0.35487311534250876,0.16311928073488177
P2,F1_Frobenius,rms_match_quality,loose_match,69,0.3253037805741166,0.13354994596648959
P2,F3_Longitudinal,crystal_system,cubic,31,0.21290322580645166,-0.0022532366813345084
P2,F3_Longitudinal,crystal_system,orthorhombic,27,-0.10541310541310543,-0.3205695679008916
P2,F3_Longitudinal,crystal_system,hexagonal,91,0.14880100152324702,-0.06635546096453915
P2,F3_Longitudinal,crystal_system,trigonal,26,0.021538461538461538,-0.19361800094932463
P2,F3_Longitudinal,crystal_system,tetragonal,29,0.5318853626814073,0.3167289001936211
P2,F3_Longitudinal,anion_group,oxide,85,0.393360257284666,0.17820379479687984
P2,F3_Longitudinal,anion_group,nitride,23,0.2964426877470356,0.08128622525924942
P2,F3_Longitudinal,anion_group,sulfide,71,-0.022951480231607944,-0.23810794271939412
P2,F3_Longitudinal,anion_group,halide,15,0.20000000000000004,-0.015156462487786126
P2,F3_Longitudinal,response_magnitude_quartile,Q1_low,55,0.20250560432270678,-0.012650858165079382
P2,F3_Longitudinal,response_magnitude_quartile,Q2,55,0.16037735849056603,-0.054779103997220135
P2,F3_Longitudinal,response_magnitude_quartile,Q3,50,0.05879951490600303,-0.15635694758178315
P2,F3_Longitudinal,response_magnitude_quartile,Q4_high,47,0.028677150786308978,-0.1864793117014772
P2,F3_Longitudinal,rms_match_quality,best_match,69,0.21710390453254355,0.001947442044757386
P2,F3_Longitudinal,rms_match_quality,mid_match,69,0.35387455949363233,0.13871809700584617
P2,F3_Longitudinal,rms_match_quality,loose_match,69,0.37356076759061835,0.15840430510283218
P2,F4_KelvinOp,crystal_system,cubic,31,0.21290322580645166,0.0077341278187411655
P2,F4_KelvinOp,crystal_system,orthorhombic,27,0.08262108262108263,-0.12254801536662786
P2,F4_KelvinOp,crystal_system,hexagonal,91,0.11212898581262855,-0.09304011217508194
P2,F4_KelvinOp,crystal_system,trigonal,26,-0.14461538461538462,-0.34978448260309514
P2,F4_KelvinOp,crystal_system,tetragonal,29,0.4808881584200148,0.2757190604323043
P2,F4_KelvinOp,anion_group,oxide,85,0.436195549873958,0.23102645188624749
P2,F4_KelvinOp,anion_group,nitride,23,0.3122529644268775,0.10708386643916701
P2,F4_KelvinOp,anion_group,sulfide,71,-0.031004631190066873,-0.23617372917777738
P2,F4_KelvinOp,anion_group,halide,15,0.1619047619047619,-0.04326433608294858
P2,F4_KelvinOp,response_magnitude_quartile,Q1_low,57,0.22124726877699422,0.016078170789283724
P2,F4_KelvinOp,response_magnitude_quartile,Q2,53,0.06027596223674655,-0.14489313575096394
P2,F4_KelvinOp,response_magnitude_quartile,Q3,51,0.054923503638108974,-0.15024559434960152
P2,F4_KelvinOp,response_magnitude_quartile,Q4_high,46,0.014492753623188408,-0.19067634436452208
P2,F4_KelvinOp,rms_match_quality,best_match,69,0.1764705882352941,-0.02869850975241639
P2,F4_KelvinOp,rms_match_quality,mid_match,69,0.3710812624374791,0.16591216444976858
P2,F4_KelvinOp,rms_match_quality,loose_match,69,0.3363888373171402,0.1312197393294297
