strategy,delta_type,point,ci95_low,ci95_high,n_boot,seed,panel,metric,budget_factor
disagreement_abstention,delta_j,0.24561403508771928,0.10526315789473684,0.3966379310344823,2000,2051,P0,F1_Frobenius,1.5
disagreement_abstention,delta_m,0.2982456140350877,0.16666666666666669,0.38464912280701735,2000,2051,P0,F1_Frobenius,1.5
disagreement_abstention,delta_best,0.24561403508771928,0.10526315789473684,0.35714285714285715,2000,2051,P0,F1_Frobenius,1.5
minimax_oracle,delta_j,0.3157894736842105,0.22947224618924358,0.456140350877193,2000,2051,P0,F1_Frobenius,1.5
minimax_oracle,delta_m,0.3684210526315789,0.25000000000000006,0.4577605147520394,2000,2051,P0,F1_Frobenius,1.5
minimax_oracle,delta_best,0.3157894736842105,0.22413793103448276,0.4262880562060887,2000,2051,P0,F1_Frobenius,1.5
jarvis_only,delta_j,0.0,0.0,0.0,2000,2051,P0,F1_Frobenius,2.0
jarvis_only,delta_m,0.017543859649122806,-0.12068965517241381,0.16987638256343493,2000,2051,P0,F1_Frobenius,2.0
jarvis_only,delta_best,0.0,-0.12068965517241381,0.0,2000,2051,P0,F1_Frobenius,2.0
mp_only,delta_j,-0.017543859649122806,-0.16987638256343526,0.12068965517241381,2000,2051,P0,F1_Frobenius,2.0
mp_only,delta_m,0.0,0.0,0.0,2000,2051,P0,F1_Frobenius,2.0
mp_only,delta_best,-0.017543859649122806,-0.16987638256343526,0.0,2000,2051,P0,F1_Frobenius,2.0
average_percentile,delta_j,0.24561403508771934,0.07017543859649122,0.3928571428571429,2000,2051,P0,F1_Frobenius,2.0
average_percentile,delta_m,0.26315789473684215,0.15789473684210525,0.39285714285714285,2000,2051,P0,F1_Frobenius,2.0
average_percentile,delta_best,0.24561403508771934,0.07017543859649122,0.3508771929824561,2000,2051,P0,F1_Frobenius,2.0
borda_count,delta_j,0.24561403508771934,0.07017543859649122,0.3928571428571429,2000,2051,P0,F1_Frobenius,2.0
borda_count,delta_m,0.26315789473684215,0.15789473684210525,0.39285714285714285,2000,2051,P0,F1_Frobenius,2.0
borda_count,delta_best,0.24561403508771934,0.07017543859649122,0.3508771929824561,2000,2051,P0,F1_Frobenius,2.0
maximin_percentile,delta_j,0.15789473684210525,0.0,0.26666666666666666,2000,2051,P0,F1_Frobenius,2.0
maximin_percentile,delta_m,0.17543859649122806,0.06896551724137928,0.2727272727272727,2000,2051,P0,F1_Frobenius,2.0
maximin_percentile,delta_best,0.15789473684210525,0.0,0.22807017543859653,2000,2051,P0,F1_Frobenius,2.0
intersection_first,delta_j,0.24561403508771934,0.07017543859649122,0.3928571428571429,2000,2051,P0,F1_Frobenius,2.0
intersection_first,delta_m,0.26315789473684215,0.15789473684210525,0.39285714285714285,2000,2051,P0,F1_Frobenius,2.0
intersection_first,delta_best,0.24561403508771934,0.07017543859649122,0.3508771929824561,2000,2051,P0,F1_Frobenius,2.0
balanced_union,delta_j,0.6666666666666667,0.5254028896915809,0.7777777777777778,2000,2051,P0,F1_Frobenius,2.0
balanced_union,delta_m,0.6842105263157895,0.5454545454545454,0.8135907093534211,2000,2051,P0,F1_Frobenius,2.0
balanced_union,delta_best,0.6666666666666667,0.509090909090909,0.7586206896551724,2000,2051,P0,F1_Frobenius,2.0
disagreement_abstention,delta_j,0.24561403508771934,0.07017543859649122,0.3928571428571429,2000,2051,P0,F1_Frobenius,2.0
