panel,attribute,required,jarvis_source_field,mp_source_field,unit,common_n,available_n,status,kendall_tau,kendall_tau_ci95_low,kendall_tau_ci95_high,nAUCC,nAUCC_ci95_low,nAUCC_ci95_high,Delta_tau,Delta_tau_ci95_low,Delta_tau_ci95_high,Delta_nAUCC,permutation_pvalue
P0,F1_Frobenius,True,jarvis_f1,mp_f1,C/m^2,573,573,ok,0.2453490536947952,0.16971387553658368,0.3159232044382336,0.1050746995817334,0.056263162968682404,0.15744326435693812,,,,,
P0,volume,True,computed_from_cif,computed_from_cif,Angstrom^3,573,573,ok,0.967315954203421,0.9626854059933391,0.9713690313567374,0.9179960638677702,0.9011779688121604,0.936279063720277,0.7219669005086258,0.6508908726237529,0.7978885135388896,0.8129213642860368,0.4784
P0,band_gap,True,band_gap,band_gap,eV,573,573,ok,0.9081664896594879,0.8896863214946014,0.9229129198918371,0.8970539657379475,0.863534285596091,0.908393607982319,0.6628174359646927,0.5911577562325606,0.7361809052520312,0.7919792661562141,0.4752
P0,energy_above_hull,False,energy_above_hull,energy_above_hull,eV/atom,573,573,ok,0.6110458972173113,0.5468336766770913,0.6700682475912213,0.5327197102272283,0.45502859279748853,0.5924081977168817,0.3656968435225161,0.2752199426800535,0.45778732937532524,0.42764501064549487,0.4812
P0,dielectric_total_trace,True,dielectric_total,dielectric_total,dimensionless,573,573,ok,0.48172964279143093,0.41780624422759743,0.5468647568469136,0.2860962067663397,0.22801869475530204,0.3444143769087743,0.23638058909663573,0.15152830079237323,0.31601871333976944,0.18102150718460627,0.4706
P0,elastic_bulk_modulus_vrh,False,elastic_tensor,elastic_tensor,GPa,0,218,insufficient_N,,,,,,,,,,,
P2,F1_Frobenius,True,jarvis_f1,mp_f1,C/m^2,207,207,ok,0.191753834607627,0.055356980176407916,0.3269595395052293,0.060232288789580576,-0.03695177838094474,0.1675659115761965,,,,,
P2,volume,True,computed_from_cif,computed_from_cif,Angstrom^3,207,207,ok,0.983488906609128,0.9776705517973145,0.9882811776554009,0.9643931623740055,0.9417524634032559,0.979554044813096,0.7917350720015011,0.6558586725871322,0.9283381771099505,0.904160873584425,0.5058
P2,band_gap,True,band_gap,band_gap,eV,207,207,ok,0.9472968221205436,0.9327068048344014,0.9590329786190127,0.902451466192527,0.8464190056797166,0.9327255121096769,0.7555429875129166,0.6195185093060006,0.8910672302519419,0.8422191774029465,0.5088
P2,energy_above_hull,False,energy_above_hull,energy_above_hull,eV/atom,207,207,ok,0.6453676980627704,0.5402497664059466,0.7390842529448355,0.5191599827804675,0.39590984408813434,0.6411189496746253,0.45361386345514343,0.2744154161807482,0.6268767031821715,0.4589276939908869,0.497
P2,dielectric_total_trace,True,dielectric_total,dielectric_total,dimensionless,207,207,ok,0.4798067451569023,0.3906195965335587,0.5631393463340751,0.28575336731323026,0.18411786983459552,0.39641698616474275,0.2880529105492753,0.15282371399878442,0.4224135305314572,0.22552107852364967,0.4956
P2,elastic_bulk_modulus_vrh,False,elastic_tensor,elastic_tensor,GPa,0,112,insufficient_N,,,,,,,,,,,
