panel,metric,eval_mode,strategy,budget_factor,is_primary,coverage_upper_bound,baseline_strategy,n_groups,paired_diff_recall,paired_diff_recall_ci95_low,paired_diff_recall_ci95_high,material_paired_diff_recall,material_paired_diff_recall_ci95_low,material_paired_diff_recall_ci95_high
P2,F3_Longitudinal,full_panel,average_percentile,1.5,False,False,mp_only,187,0.0053475935828877,-0.0427807486631016,0.053475935828877004,0.4,0.14285714285714285,0.5789473684210527
P2,F3_Longitudinal,full_panel,borda_count,1.5,False,False,mp_only,187,0.0053475935828877,-0.0427807486631016,0.053475935828877004,0.4,0.14285714285714285,0.5789473684210527
P2,F3_Longitudinal,full_panel,maximin_percentile,1.5,False,False,mp_only,187,0.0053475935828877,-0.053475935828877004,0.058823529411764705,0.24999999999999997,0.047619047619047616,0.4
P2,F3_Longitudinal,full_panel,intersection_first,1.5,False,False,mp_only,187,0.0053475935828877,-0.0427807486631016,0.053475935828877004,0.4,0.14285714285714285,0.5789473684210527
P2,F3_Longitudinal,full_panel,balanced_union,1.5,False,False,mp_only,187,0.0053475935828877,-0.0481283422459893,0.058823529411764705,0.6,0.23809523809523808,0.75
P2,F3_Longitudinal,full_panel,disagreement_abstention,1.5,False,False,mp_only,187,0.0053475935828877,-0.0427807486631016,0.053475935828877004,0.4,0.14285714285714285,0.5789473684210527
P2,F3_Longitudinal,full_panel,minimax_oracle,1.5,False,False,mp_only,187,0.0053475935828877,-0.0481283422459893,0.053475935828877004,0.5,0.19025974025974027,0.6190476190476191
P2,F3_Longitudinal,full_panel,jarvis_only,2.0,False,False,mp_only,187,-0.0427807486631016,-0.11764705882352941,0.03208556149732621,-0.05000000000000002,-0.2857142857142857,0.15000000000000002
P2,F3_Longitudinal,full_panel,mp_only,2.0,False,False,mp_only,187,0.0,0.0,0.0,0.0,0.0,0.0
P2,F3_Longitudinal,full_panel,average_percentile,2.0,False,False,mp_only,187,0.0,-0.053475935828877004,0.0481283422459893,0.35000000000000003,0.13636363636363635,0.55
P2,F3_Longitudinal,full_panel,borda_count,2.0,False,False,mp_only,187,0.0,-0.053475935828877004,0.0481283422459893,0.35000000000000003,0.13636363636363635,0.55
P2,F3_Longitudinal,full_panel,maximin_percentile,2.0,False,False,mp_only,187,0.0053475935828877,-0.053475935828877004,0.06417112299465241,0.25,-0.04999999999999999,0.4212406015037584
P2,F3_Longitudinal,full_panel,intersection_first,2.0,False,False,mp_only,187,0.0,-0.053475935828877004,0.0481283422459893,0.35000000000000003,0.13636363636363635,0.55
P2,F3_Longitudinal,full_panel,balanced_union,2.0,False,True,mp_only,187,-0.0213903743315508,-0.06951871657754011,0.03208556149732621,0.8,0.3157894736842105,0.9523809523809523
P2,F3_Longitudinal,full_panel,disagreement_abstention,2.0,False,False,mp_only,187,0.0,-0.053475935828877004,0.0481283422459893,0.35000000000000003,0.13636363636363635,0.55
P2,F3_Longitudinal,full_panel,minimax_oracle,2.0,False,False,mp_only,187,0.0053475935828877,-0.0481283422459893,0.058823529411764705,0.49999999999999994,0.19047619047619047,0.6499999999999999
P2,F3_Longitudinal,cv_mean,jarvis_only,1.0,True,False,max_fold_baseline,5,0.0,0.0,0.0,,,
P2,F3_Longitudinal,cv_mean,mp_only,1.0,True,False,max_fold_baseline,5,0.0,0.0,0.0,,,
P2,F3_Longitudinal,cv_mean,average_percentile,1.0,True,False,max_fold_baseline,5,0.13999999999999999,0.04,0.24,,,
P2,F3_Longitudinal,cv_mean,borda_count,1.0,True,False,max_fold_baseline,5,0.13999999999999999,0.04,0.24,,,
P2,F3_Longitudinal,cv_mean,maximin_percentile,1.0,True,False,max_fold_baseline,5,0.09,0.0,0.19,,,
P2,F3_Longitudinal,cv_mean,intersection_first,1.0,True,False,max_fold_baseline,5,0.13999999999999999,0.04,0.24,,,
P2,F3_Longitudinal,cv_mean,balanced_union,1.0,True,False,max_fold_baseline,5,0.3466666666666667,0.26666666666666666,0.43,,,
P2,F3_Longitudinal,cv_mean,disagreement_abstention,1.0,True,False,max_fold_baseline,5,0.13999999999999999,0.04,0.24,,,
P2,F3_Longitudinal,cv_mean,minimax_oracle,1.0,True,False,max_fold_baseline,5,0.29,0.12000000000000002,0.45,,,
P2,F4_KelvinOp,full_panel,jarvis_only,1.0,True,False,jarvis_only,187,0.0,0.0,0.0,0.0,0.0,0.0
P2,F4_KelvinOp,full_panel,mp_only,1.0,True,False,jarvis_only,187,0.0213903743315508,-0.0374331550802139,0.08021390374331551,0.0,0.0,0.14285714285714285
P2,F4_KelvinOp,full_panel,average_percentile,1.0,True,False,jarvis_only,187,0.0213903743315508,-0.0213903743315508,0.06430481283422387,0.35000000000000003,0.10526315789473684,0.5238095238095238
P2,F4_KelvinOp,full_panel,borda_count,1.0,True,False,jarvis_only,187,0.0213903743315508,-0.0213903743315508,0.06430481283422387,0.35000000000000003,0.10526315789473684,0.5238095238095238
P2,F4_KelvinOp,full_panel,maximin_percentile,1.0,True,False,jarvis_only,187,0.0213903743315508,-0.026737967914438502,0.06951871657754011,0.2,0.047619047619047616,0.3684210526315789
P2,F4_KelvinOp,full_panel,intersection_first,1.0,True,False,jarvis_only,187,0.0213903743315508,-0.0213903743315508,0.06430481283422387,0.35000000000000003,0.10526315789473684,0.5238095238095238
P2,F4_KelvinOp,full_panel,balanced_union,1.0,True,False,jarvis_only,187,0.0213903743315508,-0.0213903743315508,0.06417112299465241,0.4,0.14285714285714285,0.5714285714285714
P2,F4_KelvinOp,full_panel,disagreement_abstention,1.0,True,False,jarvis_only,187,0.0213903743315508,-0.0213903743315508,0.06430481283422387,0.35000000000000003,0.10526315789473684,0.5238095238095238
P2,F4_KelvinOp,full_panel,minimax_oracle,1.0,True,False,jarvis_only,187,0.0213903743315508,-0.016042780748663103,0.06417112299465241,0.4,0.14285714285714285,0.55
P2,F4_KelvinOp,full_panel,jarvis_only,1.5,False,False,jarvis_only,187,0.0,0.0,0.0,0.0,0.0,0.0
P2,F4_KelvinOp,full_panel,mp_only,1.5,False,False,jarvis_only,187,0.0374331550802139,-0.03208556149732621,0.10695187165775401,0.0,0.0,0.19999999999999998
P2,F4_KelvinOp,full_panel,average_percentile,1.5,False,False,jarvis_only,187,0.0427807486631016,-0.0106951871657754,0.0962566844919786,0.4,0.18181818181818182,0.6
P2,F4_KelvinOp,full_panel,borda_count,1.5,False,False,jarvis_only,187,0.0427807486631016,-0.0106951871657754,0.0962566844919786,0.4,0.18181818181818182,0.6
P2,F4_KelvinOp,full_panel,maximin_percentile,1.5,False,False,jarvis_only,187,0.0374331550802139,-0.016042780748663103,0.09090909090909091,0.4,0.15,0.55
P2,F4_KelvinOp,full_panel,intersection_first,1.5,False,False,jarvis_only,187,0.0427807486631016,-0.0106951871657754,0.0962566844919786,0.4,0.18181818181818182,0.6
P2,F4_KelvinOp,full_panel,balanced_union,1.5,False,False,jarvis_only,187,0.0374331550802139,-0.0106951871657754,0.0855614973262032,0.6499999999999999,0.3,0.8
P2,F4_KelvinOp,full_panel,disagreement_abstention,1.5,False,False,jarvis_only,187,0.0427807486631016,-0.0106951871657754,0.0962566844919786,0.4,0.18181818181818182,0.6
P2,F4_KelvinOp,full_panel,minimax_oracle,1.5,False,False,jarvis_only,187,0.0427807486631016,-0.0053475935828877,0.0962566844919786,0.5,0.22727272727272724,0.65
P2,F4_KelvinOp,full_panel,jarvis_only,2.0,False,False,jarvis_only,187,0.0,0.0,0.0,0.0,0.0,0.0
P2,F4_KelvinOp,full_panel,mp_only,2.0,False,False,jarvis_only,187,0.0427807486631016,-0.03208556149732621,0.11229946524064172,0.0,-0.23809523809523808,0.25
P2,F4_KelvinOp,full_panel,average_percentile,2.0,False,False,jarvis_only,187,0.0427807486631016,-0.016042780748663103,0.10695187165775401,0.35000000000000003,0.047619047619047616,0.6
P2,F4_KelvinOp,full_panel,borda_count,2.0,False,False,jarvis_only,187,0.0427807486631016,-0.016042780748663103,0.10695187165775401,0.35000000000000003,0.047619047619047616,0.6
P2,F4_KelvinOp,full_panel,maximin_percentile,2.0,False,False,jarvis_only,187,0.0427807486631016,-0.0213903743315508,0.10695187165775401,0.25,-0.047619047619047616,0.45
P2,F4_KelvinOp,full_panel,intersection_first,2.0,False,False,jarvis_only,187,0.0427807486631016,-0.016042780748663103,0.10695187165775401,0.35000000000000003,0.047619047619047616,0.6
P2,F4_KelvinOp,full_panel,balanced_union,2.0,False,True,jarvis_only,187,0.0213903743315508,-0.03208556149732621,0.0748663101604278,0.8,0.25,0.9047619047619048
P2,F4_KelvinOp,full_panel,disagreement_abstention,2.0,False,False,jarvis_only,187,0.0427807486631016,-0.016042780748663103,0.10695187165775401,0.35000000000000003,0.047619047619047616,0.6
P2,F4_KelvinOp,full_panel,minimax_oracle,2.0,False,False,jarvis_only,187,0.0374331550802139,-0.0213903743315508,0.0962566844919786,0.45,0.09523809523809523,0.6190476190476191
P2,F4_KelvinOp,cv_mean,jarvis_only,1.0,True,False,max_fold_baseline,5,0.0,0.0,0.0,,,
P2,F4_KelvinOp,cv_mean,mp_only,1.0,True,False,max_fold_baseline,5,0.0,0.0,0.0,,,
P2,F4_KelvinOp,cv_mean,average_percentile,1.0,True,False,max_fold_baseline,5,0.24,0.09975000000000002,0.39,,,
P2,F4_KelvinOp,cv_mean,borda_count,1.0,True,False,max_fold_baseline,5,0.24,0.09975000000000002,0.39,,,
P2,F4_KelvinOp,cv_mean,maximin_percentile,1.0,True,False,max_fold_baseline,5,0.05,0.0,0.15,,,
P2,F4_KelvinOp,cv_mean,intersection_first,1.0,True,False,max_fold_baseline,5,0.24,0.09975000000000002,0.39,,,
P2,F4_KelvinOp,cv_mean,balanced_union,1.0,True,False,max_fold_baseline,5,0.39666666666666667,0.31325,0.48,,,
P2,F4_KelvinOp,cv_mean,disagreement_abstention,1.0,True,False,max_fold_baseline,5,0.24,0.09975000000000002,0.39,,,
P2,F4_KelvinOp,cv_mean,minimax_oracle,1.0,True,False,max_fold_baseline,5,0.39666666666666667,0.31325,0.48,,,
