panel,count,expected_count,mean_rms_distance,median_rms_distance,max_rms_distance,mean_max_distance,median_max_distance,max_max_distance,mean_lattice_distance,median_lattice_distance,max_lattice_distance,ltol,stol,angle_tol,primitive,scale,rms_threshold,lattice_threshold
P0,573,573,0.01704217536952429,0.008563576316845359,0.1683347207610885,0.02506717169709617,0.012606820985803065,0.29752547126844847,0.06560353173986434,0.0044214256442210815,1.8969455919051772,0.2,0.3,5.0,True,True,,
P2,207,207,0.0028965668485207586,0.0027079200585092434,0.007758662362214258,0.004412694237758629,0.004186554019297622,0.018881218774078258,0.0010732465569405002,0.0008110877009157266,0.003534775127518393,0.2,0.3,5.0,True,True,0.0077869203542351995,0.0035706626104296227
