panel,metric,fraction,method,n_selected,kendall_tau,kendall_tau_ci95_low,kendall_tau_ci95_high,nAUCC,nAUCC_ci95_low,nAUCC_ci95_high,permuted_mean_naucc,permutation_pvalue,note
P2,F3_Longitudinal,0.25,mp_anchor,51,-0.009415457766532966,-0.17991528852722716,0.1737623955776354,-0.02016716262308247,-0.10925206636676774,0.10996996156812654,,,"top fraction by MP, evaluated on JARVIS"
P2,F3_Longitudinal,0.25,pooled_exploratory,52,,,,-0.135727540831975,,,-0.1733412831733372,0.01,legacy pooled selection; exploratory only
P2,F4_KelvinOp,0.1,dual_high,21,-0.1142857142857143,-0.43600000000000005,0.2438090161437708,-0.13435026767718183,-0.18980946004343158,0.010671882976741643,,,both sources exceed min-quantile threshold
P2,F4_KelvinOp,0.1,jarvis_anchor,20,0.2736842105263158,-0.15794736842105264,0.580168174367069,0.09039928792961399,-0.07097417484871328,0.390484397417695,,,"top fraction by JARVIS, evaluated on MP"
P2,F4_KelvinOp,0.1,mp_anchor,20,0.1319265805961049,-0.20411815697805888,0.47695973568201044,0.010250814127461275,-0.13263472400483414,0.4595894292685563,,,"top fraction by MP, evaluated on JARVIS"
P2,F4_KelvinOp,0.1,pooled_exploratory,21,,,,-0.07290436890991976,,,-0.1901173225742892,0.005,legacy pooled selection; exploratory only
P2,F4_KelvinOp,0.25,dual_high,52,0.06563561387378614,-0.11856472351649279,0.2594448725525496,-0.03553881336057932,-0.11703620680129229,0.0857114272636186,,,both sources exceed min-quantile threshold
P2,F4_KelvinOp,0.25,jarvis_anchor,51,-0.014901960784313727,-0.20671638740864462,0.17065705635352849,-0.02161658536243058,-0.12295244540461453,0.13335905612622473,,,"top fraction by JARVIS, evaluated on MP"
P2,F4_KelvinOp,0.25,mp_anchor,51,0.10670852135404028,-0.09853701371426211,0.2957163569267527,0.020899459120979028,-0.08675345420473186,0.1605326923570772,,,"top fraction by MP, evaluated on JARVIS"
P2,F4_KelvinOp,0.25,pooled_exploratory,52,,,,-0.11478574977973503,,,-0.17461517588115671,0.01,legacy pooled selection; exploratory only
