analysis,panel,metric,distance_metric,trim_fraction,n_removed,n_retained,distance_cutoff,tau,rho,nAUCC,elite_partial_nAUCC,top10_k,top10_overlap,top10_jaccard
largest_distance_trim,P0,F1_Frobenius,rms_distance,0.0,0,573,,0.2453490536947952,0.35033868277455305,0.1050746995817334,0.0030140174179539964,57,8.0,0.07547169811320754
largest_distance_trim,P0,F1_Frobenius,rms_distance,0.01,5,568,0.13461084656361802,0.24878504736817988,0.355558529639259,0.10465275322101425,0.003160693655387312,56,8.0,0.07692307692307693
largest_distance_trim,P0,F1_Frobenius,rms_distance,0.05,28,545,0.05925880367423556,0.2546194167522441,0.36418645119184645,0.10356395837205878,0.004619342494432339,54,8.0,0.08
largest_distance_trim,P0,F1_Frobenius,rms_distance,0.1,57,516,0.03897677890704158,0.25685663542193166,0.3671800414566019,0.1037926720964058,0.007133811421030731,51,9.0,0.0967741935483871
largest_distance_trim,P0,F1_Frobenius,rms_distance,0.2,114,459,0.026208390685385406,0.2505125655898231,0.35693297472686886,0.09437855350463298,0.0008276586540469327,45,8.0,0.0975609756097561
largest_distance_trim,P0,F1_Frobenius,max_distance,0.0,0,573,,0.2453490536947952,0.35033868277455305,0.1050746995817334,0.0030140174179539964,57,8.0,0.07547169811320754
largest_distance_trim,P0,F1_Frobenius,max_distance,0.01,5,568,0.19642577479396925,0.25093392215946725,0.3587173994045173,0.10670600724824618,0.003160693655387312,56,8.0,0.07692307692307693
largest_distance_trim,P0,F1_Frobenius,max_distance,0.05,28,545,0.10107624800921901,0.25874217870881716,0.37037344950623446,0.10572077983971287,0.008024655847940987,54,9.0,0.09090909090909091
largest_distance_trim,P0,F1_Frobenius,max_distance,0.1,57,516,0.058006102368018425,0.26145433886515557,0.3736927199164463,0.10421199608063235,0.007133811421030731,51,9.0,0.0967741935483871
largest_distance_trim,P0,F1_Frobenius,max_distance,0.2,114,459,0.036126396884150015,0.26841218953169066,0.3840130947320907,0.10291811239572683,0.005405233530296746,45,9.0,0.1111111111111111
largest_distance_trim,P0,F1_Frobenius,lattice_distance,0.0,0,573,,0.2453490536947952,0.35033868277455305,0.1050746995817334,0.0030140174179539964,57,8.0,0.07547169811320754
largest_distance_trim,P0,F1_Frobenius,lattice_distance,0.01,5,568,0.882333854955509,0.24545855407045353,0.349816459519067,0.10241287368453648,0.0033046587760231106,56,8.0,0.07692307692307693
largest_distance_trim,P0,F1_Frobenius,lattice_distance,0.05,28,545,0.5213781469744057,0.24553816886560054,0.34957922381836304,0.10059805655089608,0.0009288609320665694,54,7.0,0.06930693069306931
largest_distance_trim,P0,F1_Frobenius,lattice_distance,0.1,57,516,0.16295405910056288,0.24721798852371882,0.3520436572404842,0.09761067311193504,0.0007488644973797796,51,6.0,0.0625
largest_distance_trim,P0,F1_Frobenius,lattice_distance,0.2,114,459,0.03202056752425882,0.23552301713290905,0.33654339838983893,0.08571104616393517,-0.0011250233630169687,45,5.0,0.058823529411764705
