analysis,panel,distance_metric,distance_stratum,metric,n,tau,rho,nAUCC,n_excluded,distance_min,distance_max,boundary_count,nonidentical_space_group_count
distance_stratum,P0,rms_distance,Q1,F1_Frobenius,114,0.10309758590186514,0.15093285055588868,-0.012983399571052419,459,6.461734745683512e-17,0.0024987569677864634,2,0
distance_stratum,P0,rms_distance,Q1,F3_Longitudinal,114,0.12575790852855903,0.1883736289217547,-0.016073476135550605,459,6.461734745683512e-17,0.0024987569677864634,2,0
distance_stratum,P0,rms_distance,Q1,F4_KelvinOp,114,0.10806614425858155,0.15573632720375225,-0.019035206236030874,459,6.461734745683512e-17,0.0024987569677864634,2,0
distance_stratum,P0,rms_distance,Q2,F1_Frobenius,115,0.4209964153551524,0.5952572117340456,0.2317173029972745,458,0.0025140137083793177,0.006037887026663678,2,0
distance_stratum,P0,rms_distance,Q2,F3_Longitudinal,115,0.44605951764599355,0.6354203540779619,0.21702769021257468,458,0.0025140137083793177,0.006037887026663678,2,0
distance_stratum,P0,rms_distance,Q2,F4_KelvinOp,115,0.4399176025621256,0.6286709658595394,0.23593856371010904,458,0.0025140137083793177,0.006037887026663678,2,0
distance_stratum,P0,rms_distance,Q3,F1_Frobenius,114,0.1729679377931894,0.2406193487770447,0.08824063839318941,459,0.006048818976422452,0.012620563508888134,0,2
distance_stratum,P0,rms_distance,Q3,F3_Longitudinal,114,0.17646604549898953,0.2548607834994105,0.11134875257340746,459,0.006048818976422452,0.012620563508888134,0,2
distance_stratum,P0,rms_distance,Q3,F4_KelvinOp,114,0.1692415190256521,0.24240951461039686,0.09997904971340647,459,0.006048818976422452,0.012620563508888134,0,2
distance_stratum,P0,rms_distance,Q4,F1_Frobenius,115,0.39405034324942795,0.5515347589363214,0.18497518680742583,458,0.012878277425438692,0.026142500251348958,0,9
distance_stratum,P0,rms_distance,Q4,F3_Longitudinal,115,0.4012515683127111,0.5668698586650771,0.2004878556784589,458,0.012878277425438692,0.026142500251348958,0,9
distance_stratum,P0,rms_distance,Q4,F4_KelvinOp,115,0.38764302059496575,0.5503195770535786,0.18914433829608635,458,0.012878277425438692,0.026142500251348958,0,9
distance_stratum,P0,rms_distance,Q5,F1_Frobenius,115,0.2248529807745261,0.3059981219736445,0.11444017758338657,458,0.026164234999249834,0.1683347207610885,0,29
distance_stratum,P0,rms_distance,Q5,F3_Longitudinal,115,0.2624054754812024,0.35841991281804375,0.12133984003916451,458,0.026164234999249834,0.1683347207610885,0,29
distance_stratum,P0,rms_distance,Q5,F4_KelvinOp,115,0.23157412965637333,0.31126946182660875,0.11394921400576444,458,0.026164234999249834,0.1683347207610885,0,29
distance_stratum,P0,max_distance,Q1,F1_Frobenius,114,0.09036565511277939,0.13698413759194084,-0.009511405387821725,459,6.461734745683512e-17,0.0036691297261801977,2,0
distance_stratum,P0,max_distance,Q1,F3_Longitudinal,114,0.12550562688737868,0.19324642206893192,-0.014013843272607643,459,6.461734745683512e-17,0.0036691297261801977,2,0
distance_stratum,P0,max_distance,Q1,F4_KelvinOp,114,0.09688688795596966,0.14444451194722305,-0.015759790435069695,459,6.461734745683512e-17,0.0036691297261801977,2,0
distance_stratum,P0,max_distance,Q2,F1_Frobenius,115,0.4104363747329874,0.5858817402420116,0.2088602750663459,458,0.003699505862173549,0.00830691202321857,2,0
distance_stratum,P0,max_distance,Q2,F3_Longitudinal,115,0.4251129346010889,0.6133368069971475,0.19057725532326558,458,0.003699505862173549,0.00830691202321857,2,0
distance_stratum,P0,max_distance,Q2,F4_KelvinOp,115,0.4244736039060115,0.6126789737196154,0.21316436121287644,458,0.003699505862173549,0.00830691202321857,2,0
distance_stratum,P0,max_distance,Q3,F1_Frobenius,114,0.1838366591985065,0.2592338333247521,0.07228115737065699,459,0.008346787482690757,0.018192105632161948,0,2
distance_stratum,P0,max_distance,Q3,F3_Longitudinal,114,0.19570977359388853,0.2862645671413983,0.10169215243210403,459,0.008346787482690757,0.018192105632161948,0,2
distance_stratum,P0,max_distance,Q3,F4_KelvinOp,114,0.18352612430121176,0.2673260309153351,0.08680996180460882,459,0.008346787482690757,0.018192105632161948,0,2
distance_stratum,P0,max_distance,Q4,F1_Frobenius,115,0.47272451074231786,0.6631552367857115,0.2567590103122597,458,0.018272172031053482,0.03569156573931094,0,8
distance_stratum,P0,max_distance,Q4,F3_Longitudinal,115,0.47888853094007316,0.6634023554672384,0.2637926364880488,458,0.018272172031053482,0.03569156573931094,0,8
distance_stratum,P0,max_distance,Q4,F4_KelvinOp,115,0.47608149564752483,0.6701386423205737,0.2730873527436981,458,0.018272172031053482,0.03569156573931094,0,8
distance_stratum,P0,max_distance,Q5,F1_Frobenius,115,0.1613322699256375,0.21906325194209675,0.07596957960099346,458,0.03612513442017901,0.29752547126844847,0,30
distance_stratum,P0,max_distance,Q5,F3_Longitudinal,115,0.2037291976335587,0.27625317660453486,0.08843042483232917,458,0.03612513442017901,0.29752547126844847,0,30
distance_stratum,P0,max_distance,Q5,F4_KelvinOp,115,0.17263775096209316,0.23265618600923577,0.09223889189110568,458,0.03612513442017901,0.29752547126844847,0,30
distance_stratum,P0,lattice_distance,Q1,F1_Frobenius,114,0.1987423342686557,0.2750699156967138,0.05875792557626441,459,1.7537345406925864e-16,0.000546573733101992,0,3
distance_stratum,P0,lattice_distance,Q1,F3_Longitudinal,114,0.22482915423605923,0.3262480004296166,0.0658614100065807,459,1.7537345406925864e-16,0.000546573733101992,0,3
distance_stratum,P0,lattice_distance,Q1,F4_KelvinOp,114,0.22358512605223765,0.32065839221303116,0.06495340669282776,459,1.7537345406925864e-16,0.000546573733101992,0,3
distance_stratum,P0,lattice_distance,Q2,F1_Frobenius,115,0.15229665801922782,0.1913176936612772,0.05202500547109536,458,0.0005719369203693071,0.0024209951408761263,4,1
distance_stratum,P0,lattice_distance,Q2,F3_Longitudinal,115,0.1737870025638994,0.24147496497458162,0.026463806806526807,458,0.0005719369203693071,0.0024209951408761263,4,1
distance_stratum,P0,lattice_distance,Q2,F4_KelvinOp,115,0.15870593621242177,0.2024082885527385,0.03726461806032865,458,0.0005719369203693071,0.0024209951408761263,4,1
distance_stratum,P0,lattice_distance,Q3,F1_Frobenius,114,0.30104021114733737,0.43732204694113125,0.11524634992851938,459,0.0024394162667985184,0.008022622139637356,0,2
distance_stratum,P0,lattice_distance,Q3,F3_Longitudinal,114,0.3180769146048303,0.46393082048652146,0.12081888195545107,459,0.0024394162667985184,0.008022622139637356,0,2
distance_stratum,P0,lattice_distance,Q3,F4_KelvinOp,114,0.312529110386586,0.4487029424272494,0.11931862781466124,459,0.0024394162667985184,0.008022622139637356,0,2
distance_stratum,P0,lattice_distance,Q4,F1_Frobenius,115,0.29798596277082695,0.42425796677174615,0.08569864531684919,458,0.008183509531605545,0.029229347442483816,0,13
distance_stratum,P0,lattice_distance,Q4,F3_Longitudinal,115,0.2825939378411838,0.40860711543639616,0.08214561807013296,458,0.008183509531605545,0.029229347442483816,0,13
distance_stratum,P0,lattice_distance,Q4,F4_KelvinOp,115,0.2964601769911504,0.42004821292595645,0.10039716703240031,458,0.008183509531605545,0.029229347442483816,0,13
distance_stratum,P0,lattice_distance,Q5,F1_Frobenius,115,0.2995191285306769,0.42855423755310007,0.1612862973708346,458,0.029812801626795254,1.8969455919051772,0,21
distance_stratum,P0,lattice_distance,Q5,F3_Longitudinal,115,0.3538661263680475,0.49307074840726267,0.21145179842485692,458,0.029812801626795254,1.8969455919051772,0,21
distance_stratum,P0,lattice_distance,Q5,F4_KelvinOp,115,0.290970162578731,0.41449254206115804,0.1547413160294089,458,0.029812801626795254,1.8969455919051772,0,21
distance_stratum,P2,rms_distance,Q1,F1_Frobenius,41,0.2975609756097561,0.40470383275261324,0.21059307542382746,166,6.461734745683512e-17,0.0005989591924504703,0,0
distance_stratum,P2,rms_distance,Q1,F3_Longitudinal,41,0.25853658536585367,0.3327526132404181,0.1506900914266214,166,6.461734745683512e-17,0.0005989591924504703,0,0
distance_stratum,P2,rms_distance,Q1,F4_KelvinOp,41,0.24878048780487805,0.3430313588850174,0.14444895279748626,166,6.461734745683512e-17,0.0005989591924504703,0,0
distance_stratum,P2,rms_distance,Q2,F1_Frobenius,41,-0.02074436017593618,-0.03562872950807617,-0.06573341168548315,166,0.000744983818214068,0.0018845122864598253,2,0
distance_stratum,P2,rms_distance,Q2,F3_Longitudinal,41,0.012210021311633996,0.03144873258731925,-0.07735421933917752,166,0.000744983818214068,0.0018845122864598253,2,0
distance_stratum,P2,rms_distance,Q2,F4_KelvinOp,41,-0.003660769442812267,-0.020297051284551948,-0.05517833023633204,166,0.000744983818214068,0.0018845122864598253,2,0
distance_stratum,P2,rms_distance,Q3,F1_Frobenius,42,0.472093023255814,0.6388978930307944,0.27040461974420377,165,0.0018993731750744094,0.0033093044435711844,2,0
distance_stratum,P2,rms_distance,Q3,F3_Longitudinal,42,0.4421128230327793,0.6460667169422469,0.16720825770307415,165,0.0018993731750744094,0.0033093044435711844,2,0
distance_stratum,P2,rms_distance,Q3,F4_KelvinOp,42,0.45581395348837217,0.6466774716369531,0.25671573663553077,165,0.0018993731750744094,0.0033093044435711844,2,0
distance_stratum,P2,rms_distance,Q4,F1_Frobenius,41,0.3951219512195122,0.5301393728222996,0.27172547101216743,166,0.0033365137213653305,0.004950477274633077,0,0
distance_stratum,P2,rms_distance,Q4,F3_Longitudinal,41,0.42831002480903524,0.5712792374424536,0.2898594083330426,166,0.0033365137213653305,0.004950477274633077,0,0
distance_stratum,P2,rms_distance,Q4,F4_KelvinOp,41,0.4341463414634146,0.5790940766550523,0.30169864840276267,166,0.0033365137213653305,0.004950477274633077,0,0
distance_stratum,P2,rms_distance,Q5,F1_Frobenius,42,0.2789076589370737,0.4076820229431152,0.06232889812549276,165,0.005002455971597982,0.007758662362214258,0,0
distance_stratum,P2,rms_distance,Q5,F3_Longitudinal,42,0.3114468858130656,0.45395243341827296,0.11838377490482747,165,0.005002455971597982,0.007758662362214258,0,0
distance_stratum,P2,rms_distance,Q5,F4_KelvinOp,42,0.2882045809016428,0.4227543457949179,0.07729371372812346,165,0.005002455971597982,0.007758662362214258,0,0
distance_stratum,P2,max_distance,Q1,F1_Frobenius,41,0.2975609756097561,0.39773519163763066,0.24139286896706033,166,6.461734745683512e-17,0.0008343321166843757,0,0
distance_stratum,P2,max_distance,Q1,F3_Longitudinal,41,0.275609756097561,0.35783972125435537,0.18016422916551345,166,6.461734745683512e-17,0.0008343321166843757,0,0
distance_stratum,P2,max_distance,Q1,F4_KelvinOp,41,0.25853658536585367,0.3534843205574913,0.1784836293937147,166,6.461734745683512e-17,0.0008343321166843757,0,0
distance_stratum,P2,max_distance,Q2,F1_Frobenius,41,0.008541795366561956,0.0013066771213230868,-0.06463726213709903,166,0.0008544553334775858,0.0027262280517332403,2,0
distance_stratum,P2,max_distance,Q2,F3_Longitudinal,41,0.07715931269519809,0.15425510508779208,-0.07598456100216573,166,0.0008544553334775858,0.0027262280517332403,2,0
distance_stratum,P2,max_distance,Q2,F4_KelvinOp,41,-0.003660769442812267,-0.0056622675257333764,-0.05720848036475962,166,0.0008544553334775858,0.0027262280517332403,2,0
distance_stratum,P2,max_distance,Q3,F1_Frobenius,42,0.36353077816492446,0.5168949031683008,0.216990766296169,165,0.0027301624059385796,0.004993100614753887,0,0
distance_stratum,P2,max_distance,Q3,F3_Longitudinal,42,0.38811426057170767,0.5711738471763373,0.14893054517876772,165,0.0027301624059385796,0.004993100614753887,0,0
distance_stratum,P2,max_distance,Q3,F4_KelvinOp,42,0.3867595818815331,0.5556275828539017,0.21034663404024423,165,0.0027301624059385796,0.004993100614753887,0,0
distance_stratum,P2,max_distance,Q4,F1_Frobenius,41,0.3577533577533577,0.47225368063420153,0.21378654538514594,166,0.005172895543689293,0.007148451938374246,2,0
distance_stratum,P2,max_distance,Q4,F3_Longitudinal,41,0.40415140415140416,0.5435142434009931,0.2713372568147435,166,0.005172895543689293,0.007148451938374246,2,0
distance_stratum,P2,max_distance,Q4,F4_KelvinOp,41,0.43833943833943834,0.5999651537590381,0.2685420733909156,166,0.005172895543689293,0.007148451938374246,2,0
distance_stratum,P2,max_distance,Q5,F1_Frobenius,42,0.3625799566181958,0.50232972773293,0.16496163292473454,165,0.007262495510207333,0.018881218774078258,0,0
distance_stratum,P2,max_distance,Q5,F3_Longitudinal,42,0.3579314956359112,0.5129451809242535,0.15769051200251402,165,0.007262495510207333,0.018881218774078258,0,0
distance_stratum,P2,max_distance,Q5,F4_KelvinOp,42,0.33468919072448844,0.4849884530539742,0.13649544107891823,165,0.007262495510207333,0.018881218774078258,0,0
distance_stratum,P2,lattice_distance,Q1,F1_Frobenius,41,0.2170731707317073,0.32282229965156795,0.09274858693659653,166,8.412630995266107e-16,8.120689581634325e-05,0,0
distance_stratum,P2,lattice_distance,Q1,F3_Longitudinal,41,0.23414634146341462,0.36672473867595823,0.09873058425696803,166,8.412630995266107e-16,8.120689581634325e-05,0,0
distance_stratum,P2,lattice_distance,Q1,F4_KelvinOp,41,0.25121951219512195,0.3989547038327526,0.10186470120827763,166,8.412630995266107e-16,8.120689581634325e-05,0,0
distance_stratum,P2,lattice_distance,Q2,F1_Frobenius,41,0.13170731707317074,0.16742160278745644,0.02249411279618188,166,8.570229835161235e-05,0.0004829699082672485,0,0
distance_stratum,P2,lattice_distance,Q2,F3_Longitudinal,41,0.1525320601171778,0.2163857312911032,0.039709095504024884,166,8.570229835161235e-05,0.0004829699082672485,0,0
distance_stratum,P2,lattice_distance,Q2,F4_KelvinOp,41,0.13658536585365852,0.17909407665505228,0.01587410619227066,166,8.570229835161235e-05,0.0004829699082672485,0,0
distance_stratum,P2,lattice_distance,Q3,F1_Frobenius,42,0.15214866434378627,0.2013613159387408,0.04969843248385008,165,0.00048486336504874035,0.0011216381989755087,0,0
distance_stratum,P2,lattice_distance,Q3,F3_Longitudinal,42,0.20629496733090769,0.26005190203543715,0.004414062583028523,165,0.00048486336504874035,0.0011216381989755087,0,0
distance_stratum,P2,lattice_distance,Q3,F4_KelvinOp,42,0.140534262485482,0.16068389919779597,0.005319371689508718,165,0.00048486336504874035,0.0011216381989755087,0,0
