panel,direction,q_percent,distance_bin,distance_lower,distance_upper,n,disagreements,disagreement_rate
P2,JARVIS_to_MP,10,"(-inf,-20]",-inf,-20.0,0,0,
P2,JARVIS_to_MP,10,"(-20,-10]",-20.0,-10.0,0,0,
P2,JARVIS_to_MP,10,"(-10,-5]",-10.0,-5.0,10,8,0.8
P2,JARVIS_to_MP,10,"(-5,-2]",-5.0,-2.0,6,6,1.0
P2,JARVIS_to_MP,10,"(-2,0]",-2.0,0.0,4,4,1.0
P2,JARVIS_to_MP,10,"(0,2]",0.0,2.0,4,1,0.25
P2,JARVIS_to_MP,10,"(2,5]",2.0,5.0,7,2,0.2857142857142857
P2,JARVIS_to_MP,10,"(5,10]",5.0,10.0,10,0,0.0
P2,JARVIS_to_MP,10,"(10,20]",10.0,20.0,21,4,0.19047619047619047
P2,JARVIS_to_MP,10,"(20,inf)",20.0,inf,145,11,0.07586206896551724
P2,JARVIS_to_MP,20,"(-inf,-20]",-inf,-20.0,0,0,
P2,JARVIS_to_MP,20,"(-20,-10]",-20.0,-10.0,20,16,0.8
P2,JARVIS_to_MP,20,"(-10,-5]",-10.0,-5.0,11,7,0.6363636363636364
P2,JARVIS_to_MP,20,"(-5,-2]",-5.0,-2.0,6,6,1.0
P2,JARVIS_to_MP,20,"(-2,0]",-2.0,0.0,4,4,1.0
P2,JARVIS_to_MP,20,"(0,2]",0.0,2.0,4,3,0.75
P2,JARVIS_to_MP,20,"(2,5]",2.0,5.0,6,4,0.6666666666666666
P2,JARVIS_to_MP,20,"(5,10]",5.0,10.0,11,4,0.36363636363636365
P2,JARVIS_to_MP,20,"(10,20]",10.0,20.0,20,6,0.3
P2,JARVIS_to_MP,20,"(20,inf)",20.0,inf,125,16,0.128
P2,MP_to_JARVIS,5,"(-inf,-20]",-inf,-20.0,0,0,
P2,MP_to_JARVIS,5,"(-20,-10]",-20.0,-10.0,0,0,
P2,MP_to_JARVIS,5,"(-10,-5]",-10.0,-5.0,0,0,
P2,MP_to_JARVIS,5,"(-5,-2]",-5.0,-2.0,6,6,1.0
P2,MP_to_JARVIS,5,"(-2,0]",-2.0,0.0,4,4,1.0
P2,MP_to_JARVIS,5,"(0,2]",0.0,2.0,4,0,0.0
P2,MP_to_JARVIS,5,"(2,5]",2.0,5.0,6,2,0.3333333333333333
P2,MP_to_JARVIS,5,"(5,10]",5.0,10.0,11,1,0.09090909090909091
P2,MP_to_JARVIS,5,"(10,20]",10.0,20.0,20,0,0.0
P2,MP_to_JARVIS,5,"(20,inf)",20.0,inf,156,7,0.04487179487179487
P2,MP_to_JARVIS,10,"(-inf,-20]",-inf,-20.0,0,0,
P2,MP_to_JARVIS,10,"(-20,-10]",-20.0,-10.0,0,0,
P2,MP_to_JARVIS,10,"(-10,-5]",-10.0,-5.0,10,10,1.0
P2,MP_to_JARVIS,10,"(-5,-2]",-5.0,-2.0,6,6,1.0
P2,MP_to_JARVIS,10,"(-2,0]",-2.0,0.0,4,2,0.5
P2,MP_to_JARVIS,10,"(0,2]",0.0,2.0,4,1,0.25
P2,MP_to_JARVIS,10,"(2,5]",2.0,5.0,7,0,0.0
P2,MP_to_JARVIS,10,"(5,10]",5.0,10.0,10,1,0.1
P2,MP_to_JARVIS,10,"(10,20]",10.0,20.0,21,4,0.19047619047619047
P2,MP_to_JARVIS,10,"(20,inf)",20.0,inf,145,12,0.08275862068965517
P2,MP_to_JARVIS,20,"(-inf,-20]",-inf,-20.0,0,0,
P2,MP_to_JARVIS,20,"(-20,-10]",-20.0,-10.0,20,15,0.75
P2,MP_to_JARVIS,20,"(-10,-5]",-10.0,-5.0,11,10,0.9090909090909091
P2,MP_to_JARVIS,20,"(-5,-2]",-5.0,-2.0,6,4,0.6666666666666666
P2,MP_to_JARVIS,20,"(-2,0]",-2.0,0.0,4,4,1.0
P2,MP_to_JARVIS,20,"(0,2]",0.0,2.0,4,0,0.0
P2,MP_to_JARVIS,20,"(2,5]",2.0,5.0,6,0,0.0
P2,MP_to_JARVIS,20,"(5,10]",5.0,10.0,11,4,0.36363636363636365
P2,MP_to_JARVIS,20,"(10,20]",10.0,20.0,20,1,0.05
P2,MP_to_JARVIS,20,"(20,inf)",20.0,inf,125,28,0.224
