panel,metric,n,n_groups,tau,tau_ci95_low,tau_ci95_high,nAUCC,nAUCC_ci95_low,nAUCC_ci95_high,n_boot_requested,n_boot_curve,n_boot_tau,bootstrap_seed,persistent_onset_delta0.00,persistent_onset_delta0.05,persistent_onset_delta0.10,partial_nAUCC_elite,partial_nAUCC_elite_ci95_low,partial_nAUCC_elite_ci95_high,partial_nAUCC_elite_n_boot,partial_nAUCC_intermediate,partial_nAUCC_intermediate_ci95_low,partial_nAUCC_intermediate_ci95_high,partial_nAUCC_intermediate_n_boot,partial_nAUCC_broad,partial_nAUCC_broad_ci95_low,partial_nAUCC_broad_ci95_high,partial_nAUCC_broad_n_boot
P0,F1_Frobenius,573,496,0.2453490536947952,0.16894537721840575,0.3176269719460298,0.1050746995817334,0.056455442960661704,0.153048086765725,2000,2000,2000,42,35.0,,,0.0030140174179539964,-0.02298286002847773,0.044279375084087164,2000,0.07585867005104632,0.01324435783913082,0.14110087785795497,2000,0.14543158074109624,0.08684044711735449,0.20391358864087966,2000
P0,F3_Longitudinal,573,496,0.26857345047318515,0.19472999382786874,0.33742685289646485,0.11016248011534203,0.05976052297716247,0.15656539449990298,2000,2000,2000,42,29.0,39.0,,-0.0001814219770469548,-0.022988906870620582,0.027821111568671356,2000,0.06103988187964239,0.0033701160822032588,0.12702487198434884,2000,0.1596398501549586,0.09643982916820855,0.21803112646062797,2000
P0,F4_KelvinOp,573,496,0.255259681075164,0.17854898775175565,0.3288940293826071,0.10572407600228573,0.0587735528237272,0.15359520973429328,2000,2000,2000,42,28.0,42.0,,-0.004027343707101476,-0.022780787407901498,0.03776793133211145,2000,0.06913964113655544,0.009687640805924345,0.13694849831187228,2000,0.15084431353701197,0.09077606356071552,0.20865507774231884,2000
P2,F1_Frobenius,207,187,0.191753834607627,0.058429215002637695,0.31739258258731834,0.060232288789580576,-0.02777885874147673,0.1533079780344517,2000,2000,2000,42,,,,-0.02336280515808549,-0.030087663245362814,0.04512092170297227,2000,0.03003351069617503,-0.047938091435551694,0.13739111749282587,2000,0.09537707633834892,-0.03172293269572617,0.21474493088332786,2000
P2,F3_Longitudinal,207,187,0.21515646248778617,0.08317669339481153,0.3402523717591636,0.043279956848819176,-0.03187100646606726,0.1323205228292189,2000,2000,2000,42,,,,-0.021205411914573008,-0.030729164573008536,0.00688772910471038,2000,-0.037265762528952646,-0.07682151615315369,0.05279261095360175,2000,0.08947414060376076,-0.026236657865351724,0.21069600898308605,2000
P2,F4_KelvinOp,207,187,0.2051690979877105,0.07277960212569214,0.33077801830337356,0.04593413088143092,-0.03199845794833505,0.13984231292513402,2000,2000,2000,42,,,,-0.021205411914573008,-0.030729164573008536,0.01570364813741228,2000,-0.02432904580926369,-0.07407437953244299,0.0934736503718662,2000,0.0894970526171303,-0.02861023881239212,0.21003615196280226,2000
