panel,attribute,n,n_tied_rows_jarvis,n_tied_rows_mp,tie_break_replicates,nAUCC_stable,nAUCC_min,nAUCC_max,nAUCC_ci95_low,nAUCC_ci95_high,elite_partial_nAUCC_min,elite_partial_nAUCC_max,top10_overlap_min,top10_overlap_max
P0,band_gap,573,72,21,1000,0.8970539657379475,0.8967016423186894,0.8975468057122602,0.8967016423186894,0.8975468057122602,0.814826738347334,0.814826738347334,51.0,51.0
P0,energy_above_hull,573,365,245,1000,0.5327197102272283,0.5321874312062271,0.5331922280818374,0.5323382008814456,0.5331922280818374,0.6009503274826741,0.6009503274826741,43.0,43.0
P0,dielectric_total_trace,573,4,17,1000,0.2860962067663397,0.2860962067663397,0.2860962067663397,0.2860962067663397,0.2860962067663397,0.19736116882422813,0.19736116882422813,21.0,21.0
P2,band_gap,207,8,6,1000,0.902451466192527,0.8995513458634786,0.902451466192527,0.8995513458634786,0.902451466192527,0.7805472080535787,0.7915884668679589,18.0,18.0
P2,energy_above_hull,207,126,96,1000,0.5191599827804675,0.5180961574959535,0.5198428181563501,0.5180961574959535,0.5196261266712017,0.6266751678553619,0.6266751678553619,16.0,16.0
P2,dielectric_total_trace,207,4,4,1000,0.28575336731323026,0.28575336731323026,0.28575336731323026,0.28575336731323026,0.28575336731323026,0.2859123903400546,0.2859123903400546,6.0,6.0
