panel,metric,source,n,mean,std,zero_count,q00,q01,q05,q25,q50,q75,q95,q99,q100
P0,F1_Frobenius,JARVIS,573,0.6785595057566715,4.0380116381818105,6,0.0,3.527265229607775e-05,0.013403887639267328,0.13587319603218287,0.3283785949175129,0.6811750032847653,1.6737807317052864,2.376741857014303,96.12611608797735
P0,F1_Frobenius,MP,573,1.0915804202986663,3.7971509029746655,2,0.0,0.007481574568935508,0.0364599999999988,0.208223489817116,0.4988406836856834,1.1170724930295255,2.991399293662774,8.066910638886185,82.15396485782648
P0,F3_Longitudinal,JARVIS,573,0.36681968299694945,2.1938991417311127,6,0.0,1.6620213778181423e-05,0.0067964243496460575,0.07184889218938714,0.16689300429000248,0.39315443239118086,0.8782220806844673,1.1474285451530213,52.2076816787236
P0,F3_Longitudinal,MP,573,0.6272615560803529,2.0697451383697594,28,0.0,0.0,0.0013326168106856523,0.08129861590549362,0.2585143565323191,0.6348825144893707,1.6312562975410525,3.9055264878005946,42.05005385919177
P0,F4_KelvinOp,JARVIS,573,0.5352885070437211,3.9966180337364547,6,0.0,2.0364675298172565e-05,0.00896712430636744,0.10701147835629596,0.2362788272359587,0.5174458954325563,1.191906816280436,1.5248678540328398,95.48234272298501
P0,F4_KelvinOp,MP,573,0.8444663186795455,2.761769908070973,2,0.0,0.004527180455867677,0.025533625868646236,0.15584633457351368,0.37818899084981317,0.894032508015936,2.3261298312168215,6.277100060504687,58.08850548742051
P2,F1_Frobenius,JARVIS,207,0.6066492369860919,0.599142289482271,0,0.00348,0.00546,0.015072384154655496,0.14117244868099696,0.36424694755069675,0.9134757576130306,1.7866486372105337,2.597594220896974,2.6266370075059857
P2,F1_Frobenius,MP,207,0.8826169816439849,1.1102914729348514,0,0.00466,0.02667096928922995,0.039557041034140095,0.19517231911042926,0.50398625571969,1.1503347957114867,3.2798372632808666,5.3328792072040745,7.463687827595685
P2,F3_Longitudinal,JARVIS,207,0.3313899425729004,0.31780663157723127,0,0.001739113582361477,0.0027286116140747725,0.007214826512536391,0.08133042918985325,0.2002413067628543,0.5522799999999963,0.9815639999999998,1.1115169529950113,1.2370075927549253
P2,F3_Longitudinal,MP,207,0.5186553964834945,0.6955900149103875,11,0.0,0.0,0.0011939603505294715,0.09665499671527955,0.2652099999999561,0.624286257244685,1.8449557760861564,3.4477,3.8736199984121793
P2,F4_KelvinOp,JARVIS,207,0.4201284152272962,0.3928076001776324,0,0.0024607315985291857,0.0038608030252785495,0.010447705971074401,0.11025812943618028,0.2648670798721502,0.6339189022672216,1.2318070770117806,1.499721722680284,1.5172531625275987
P2,F4_KelvinOp,MP,207,0.6699696029219346,0.8561616707270167,0,0.0032951176003293116,0.01681499925661477,0.031295486010523364,0.1446226032501614,0.36292962710227983,0.8402551745988103,2.5649640787584205,3.8505721112361306,4.610180649844429
