analysis,panel,distance_metric,threshold_quantile,threshold_value,metric,n,tau,rho,nAUCC,n_excluded,boundary_count,nonidentical_space_group_count
continuous_threshold,P0,rms_distance,0.5,0.008563576316845359,F1_Frobenius,287,0.22802699870854554,0.3276189398096517,0.0671713066597952,286,1,1
continuous_threshold,P0,rms_distance,0.5,0.008563576316845359,F3_Longitudinal,287,0.2487128465235135,0.36529318697673296,0.05976600554253179,286,1,1
continuous_threshold,P0,rms_distance,0.5,0.008563576316845359,F4_KelvinOp,287,0.24445040083822708,0.35337267070971246,0.061679086372388885,286,1,1
continuous_threshold,P0,rms_distance,0.55,0.010348403168290646,F1_Frobenius,315,0.2085616646108426,0.2977493147776516,0.06456098805434428,258,0,2
continuous_threshold,P0,rms_distance,0.55,0.010348403168290646,F3_Longitudinal,315,0.23478808570676996,0.3438648287832752,0.06321917046673523,258,0,2
continuous_threshold,P0,rms_distance,0.55,0.010348403168290646,F4_KelvinOp,315,0.22506218025195637,0.32559915442851933,0.06213380196452889,258,0,2
continuous_threshold,P0,rms_distance,0.6,0.012896469717302772,F1_Frobenius,344,0.2025307872973995,0.2885029377463099,0.06761284116002056,229,0,2
continuous_threshold,P0,rms_distance,0.6,0.012896469717302772,F3_Longitudinal,344,0.2277961278621589,0.33303417329002355,0.06867727426734384,229,0,2
continuous_threshold,P0,rms_distance,0.6,0.012896469717302772,F4_KelvinOp,344,0.2193461991654126,0.31500555491070775,0.067876611888277,229,0,2
continuous_threshold,P0,rms_distance,0.65,0.015310519442043775,F1_Frobenius,372,0.2056417428155459,0.2933719405481066,0.06845082273669818,201,0,4
continuous_threshold,P0,rms_distance,0.65,0.015310519442043775,F3_Longitudinal,372,0.23118796838390523,0.33769430195176686,0.07334204270262994,201,0,4
continuous_threshold,P0,rms_distance,0.65,0.015310519442043775,F4_KelvinOp,372,0.22204670778152177,0.3197196979140466,0.06906164648092024,201,0,4
continuous_threshold,P0,rms_distance,0.7,0.018413986155809168,F1_Frobenius,401,0.22289971632965397,0.31833595077975585,0.07674495460932072,172,0,8
continuous_threshold,P0,rms_distance,0.7,0.018413986155809168,F3_Longitudinal,401,0.24671723822353248,0.3606933694137917,0.0854202533144088,172,0,8
continuous_threshold,P0,rms_distance,0.7,0.018413986155809168,F4_KelvinOp,401,0.23786277627570365,0.343104817970191,0.07866237231156908,172,0,8
continuous_threshold,P0,rms_distance,0.75,0.021811873453301652,F1_Frobenius,430,0.23637004310107984,0.3381307616711606,0.08708400239924097,143,1,11
continuous_threshold,P0,rms_distance,0.75,0.021811873453301652,F3_Longitudinal,430,0.25895007804767517,0.3779121093501157,0.09352484464122626,143,1,11
continuous_threshold,P0,rms_distance,0.75,0.021811873453301652,F4_KelvinOp,430,0.24998780256784542,0.3610651725508673,0.09152196651778563,143,1,11
continuous_threshold,P0,rms_distance,0.8,0.026155541100089483,F1_Frobenius,458,0.24971691487664444,0.3559486186107821,0.09538996100484598,115,0,11
continuous_threshold,P0,rms_distance,0.8,0.026155541100089483,F3_Longitudinal,458,0.2703402439320125,0.3939498305359402,0.10015481583837917,115,0,11
continuous_threshold,P0,rms_distance,0.8,0.026155541100089483,F4_KelvinOp,458,0.26177610236274723,0.3767092944241213,0.09630184305210196,115,0,11
continuous_threshold,P0,rms_distance,0.8500000000000001,0.031204100726677578,F1_Frobenius,487,0.251789381210065,0.360674471236732,0.09632411038884393,86,0,14
continuous_threshold,P0,rms_distance,0.8500000000000001,0.031204100726677578,F3_Longitudinal,487,0.27228675856463763,0.3969957586429777,0.1032065324394406,86,0,14
continuous_threshold,P0,rms_distance,0.8500000000000001,0.031204100726677578,F4_KelvinOp,487,0.26390731558566016,0.3805293485917258,0.09720668527494902,86,0,14
continuous_threshold,P0,rms_distance,0.9,0.038655910375988166,F1_Frobenius,515,0.25751611276817965,0.36798066387149486,0.10366284983494135,58,0,20
continuous_threshold,P0,rms_distance,0.9,0.038655910375988166,F3_Longitudinal,515,0.28023691186175076,0.40669748442219206,0.11112364232047264,58,0,20
continuous_threshold,P0,rms_distance,0.9,0.038655910375988166,F4_KelvinOp,515,0.2715094183502073,0.39016967388194823,0.10578875318226419,58,0,20
continuous_threshold,P0,rms_distance,0.95,0.056383866662475614,F1_Frobenius,544,0.25840109963165336,0.3697887239115687,0.10540019326052169,29,0,25
continuous_threshold,P0,rms_distance,0.95,0.056383866662475614,F3_Longitudinal,544,0.2814094502613049,0.4080968699084229,0.11208480424833135,29,0,25
continuous_threshold,P0,rms_distance,0.95,0.056383866662475614,F4_KelvinOp,544,0.2725118323212314,0.39176019379062704,0.10741701817538916,29,0,25
continuous_threshold,P0,rms_distance,1.0,0.1683347207610885,F1_Frobenius,573,0.2453490536947952,0.35033868277455305,0.1050746995817334,0,1,40
continuous_threshold,P0,rms_distance,1.0,0.1683347207610885,F3_Longitudinal,573,0.26857345047318515,0.3882567435586633,0.11016248011534203,0,1,40
continuous_threshold,P0,rms_distance,1.0,0.1683347207610885,F4_KelvinOp,573,0.255259681075164,0.3655405146817598,0.10572407600228573,0,1,40
continuous_threshold,P0,max_distance,0.5,0.012606820985803065,F1_Frobenius,287,0.2108725846146349,0.30739778889697145,0.06238491139352243,286,1,1
continuous_threshold,P0,max_distance,0.5,0.012606820985803065,F3_Longitudinal,287,0.2326071943498346,0.34545691892829383,0.05462548310450031,286,1,1
continuous_threshold,P0,max_distance,0.5,0.012606820985803065,F4_KelvinOp,287,0.2252978873754234,0.33077102306789913,0.05422194211447237,286,1,1
continuous_threshold,P0,max_distance,0.55,0.01488697385669999,F1_Frobenius,315,0.2066204274765939,0.29920211285369236,0.061270918989722305,258,0,1
continuous_threshold,P0,max_distance,0.55,0.01488697385669999,F3_Longitudinal,315,0.23353455797235395,0.34592876570624354,0.05532965291939588,258,0,1
continuous_threshold,P0,max_distance,0.55,0.01488697385669999,F4_KelvinOp,315,0.22275696115503607,0.32573621809478426,0.055911575847324174,258,0,1
continuous_threshold,P0,max_distance,0.6,0.01827317439060748,F1_Frobenius,344,0.197954011889775,0.2846774743304175,0.06305040939136035,229,0,2
continuous_threshold,P0,max_distance,0.6,0.01827317439060748,F3_Longitudinal,344,0.22362012015263574,0.32958412726861197,0.06748607615348978,229,0,2
continuous_threshold,P0,max_distance,0.6,0.01827317439060748,F4_KelvinOp,344,0.21331163603535952,0.30962140013228695,0.0637824836886624,229,0,2
continuous_threshold,P0,max_distance,0.65,0.0224985633185245,F1_Frobenius,372,0.21659770881755805,0.3116008071803084,0.07184989343905036,201,0,4
continuous_threshold,P0,max_distance,0.65,0.0224985633185245,F3_Longitudinal,372,0.2425057751584892,0.35709174161981216,0.07751549848348038,201,0,4
continuous_threshold,P0,max_distance,0.65,0.0224985633185245,F4_KelvinOp,372,0.23401711508001657,0.33874590773022584,0.07312744758752783,201,0,4
continuous_threshold,P0,max_distance,0.7,0.02635434507789016,F1_Frobenius,401,0.23359830419107952,0.3352062788937824,0.08299647421973065,172,0,6
continuous_threshold,P0,max_distance,0.7,0.02635434507789016,F3_Longitudinal,401,0.2562538924103667,0.3751586317785662,0.08860580718201254,172,0,6
continuous_threshold,P0,max_distance,0.7,0.02635434507789016,F4_KelvinOp,401,0.24861124100361603,0.3591815143069369,0.0839845205206212,172,0,6
