q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,cluster_boot_ci95_low,cluster_boot_ci95_high,panel,metric
1.0,5,573,0,0.0,0.0048647682070274215,-0.004888549869008643,-0.005671034161379616,-0.004106065576637669,P0,F1_Frobenius
2.0,11,573,0,0.0,0.010144239897062002,-0.010248200097362744,-0.011323016358209592,-0.009173383836515895,P0,F1_Frobenius
3.0,17,573,0,0.0,0.015500234329753358,-0.015744274270294834,-0.04520318994095108,0.01371464140036141,P0,F1_Frobenius
4.0,22,573,0,0.0,0.02001050598232266,-0.020419102556176693,-0.09144602808881998,0.050607822976466585,P0,F1_Frobenius
5.0,28,573,1,0.01818181818181818,0.025477572909264095,-0.007486492382967622,-0.09749500761924229,0.08252202285330704,P0,F1_Frobenius
6.0,34,573,1,0.014925373134328358,0.031004428935034415,-0.01659352868149286,-0.1253383892009568,0.09215133183797107,P0,F1_Frobenius
7.0,40,573,4,0.05263157894736842,0.03659167305736104,0.016649125237384824,-0.11060901199848239,0.14390726247325203,P0,F1_Frobenius
8.0,45,573,6,0.07142857142857142,0.041294420937402626,0.031432121757999316,-0.10953490979992878,0.1723991533159274,P0,F1_Frobenius
9.0,51,573,8,0.0851063829787234,0.046994555952628414,0.039991195500663414,-0.10131587548893939,0.1812982664902662,P0,F1_Frobenius
10.0,57,573,8,0.07547169811320754,0.05275760760908707,0.023979174376674968,-0.1173561803933729,0.16531452914672282,P0,F1_Frobenius
11.0,63,573,11,0.09565217391304348,0.05858458404020633,0.039374317909427824,-0.10502329016900436,0.18377192598786002,P0,F1_Frobenius
12.0,68,573,14,0.11475409836065574,0.06348998130614933,0.05473952870894474,-0.09454206809923885,0.20402112551712834,P0,F1_Frobenius
13.0,74,573,18,0.13846153846153847,0.06943688706444504,0.07417514238163624,-0.08286058332910155,0.231210868092374,P0,F1_Frobenius
14.0,80,573,21,0.1510791366906475,0.07545075520425892,0.08180027393034862,-0.07832245637814107,0.24192300423883834,P0,F1_Frobenius
15.0,85,573,22,0.14864864864864866,0.08051427689820931,0.07410052167052147,-0.08207879393334977,0.23027983727439272,P0,F1_Frobenius
16.0,91,573,26,0.16666666666666666,0.08665385984471832,0.08760403455402464,-0.06284344781915908,0.23805151692720838,P0,F1_Frobenius
17.0,97,573,29,0.17575757575757575,0.09286367473140028,0.09137976147259994,-0.056596981612986375,0.23935650455818624,P0,F1_Frobenius
18.0,103,573,31,0.17714285714285713,0.09914492971776269,0.08658210404550172,-0.05995197325448233,0.23311618134548578,P0,F1_Frobenius
19.0,108,573,36,0.2,0.10443477276239174,0.10670939908238894,-0.03979047362225005,0.2532092717870279,P0,F1_Frobenius
20.0,114,573,38,0.2,0.11085023542627534,0.10026405913346305,-0.04706426756802577,0.24759238583495186,P0,F1_Frobenius
21.0,120,573,38,0.18811881188118812,0.11734072027853504,0.08018733075008067,-0.06692082178555397,0.2272954832857153,P0,F1_Frobenius
